"year","category","actor","movie","winner","id"
1945.0,"actor","Ray Milland","The Lost Weekend",1.0,1226
1945.0,"actress","Joan Crawford","Mildred Pierce",1.0,742
1945.0,"actress in a supporting role","Anne Revere","National Velvet",1.0,81
1944.0,"actor in a supporting role","Barry Fitzgerald","Going My Way",1.0,128
1944.0,"actor","Bing Crosby","Going My Way",1.0,159
1944.0,"actress","Ingrid Bergman","Gaslight",1.0,588
1944.0,"actress in a supporting role","Ethel Barrymore","None but the Lonely Heart",1.0,408
1943.0,"actress in a supporting role","Katina Paxinou","For Whom the Bell Tolls",1.0,872
1943.0,"actress","Jennifer Jones","The Song of Bernadette",1.0,712
1943.0,"actor in a supporting role","Charles Coburn","The More the Merrier",1.0,229
1943.0,"actor","Paul Lukas","Watch on the Rhine",1.0,1161
1942.0,"actor","James Cagney","Yankee Doodle Dandy",1.0,639
1942.0,"actress in a supporting role","Teresa Wright","Mrs. Miniver",1.0,1426
1942.0,"actor in a supporting role","Van Heflin","Johnny Eager",1.0,1475
1942.0,"actress","Greer Garson","Mrs. Miniver",1.0,525
1941.0,"actor","Gary Cooper","Sergeant York",1.0,446
1941.0,"actress","Joan Fontaine","Suspicion",1.0,748
1941.0,"actress in a supporting role","Mary Astor","The Great Lie",1.0,1015
1941.0,"actor in a supporting role","Donald Crisp","How Green Was My Valley",1.0,337
1940.0,"actor in a supporting role","Walter Brennan","The Westerner",1.0,1497
1940.0,"actress","Ginger Rogers","Kitty Foyle",1.0,497
1940.0,"actress in a supporting role","Jane Darwell","The Grapes of Wrath",1.0,671
1940.0,"actor","James Stewart","The Philadelphia Story",1.0,656
1939.0,"actress","Vivien Leigh","Gone with the Wind",1.0,1492
1939.0,"actor in a supporting role","Thomas Mitchell","Stagecoach",1.0,1441
1939.0,"actor","Robert Donat","Goodbye, Mr. Chips",1.0,1265
1939.0,"actress in a supporting role","Hattie McDaniel","Gone with the Wind",1.0,549
1938.0,"actress in a supporting role","Fay Bainter","Jezebel",1.0,418
1938.0,"actress","Bette Davis","Jezebel",1.0,142
1938.0,"actor","Spencer Tracy","Boys Town",1.0,1384
1938.0,"actor in a supporting role","Walter Brennan","Kentucky",1.0,1496
1937.0,"actress in a supporting role","Alice Brady","In Old Chicago",1.0,41
1937.0,"actress","Luise Rainer","The Good Earth",1.0,955
1937.0,"actor in a supporting role","Joseph Schildkraut","The Life of Emile Zola",1.0,803
1937.0,"actor","Spencer Tracy","Captains Courageous",1.0,1383
1936.0,"actress","Luise Rainer","The Great Ziegfeld",1.0,954
1936.0,"actress in a supporting role","Gale Sondergaard","Anthony Adverse",1.0,442
1936.0,"actor in a supporting role","Walter Brennan","Come and Get It",1.0,1495
1936.0,"actor","Paul Muni","The Story of Louis Pasteur",1.0,1162
